,Century,Century,Century
8.86824,17,1.0,
8.86824,20,1.0,
8.9853,16,1.0,
8.9853,17,1.0,
8.9853,18,1.0,
8.9853,19,2.0,
8.9853,20,3.0,
9.00456,20,1.0,
9.01039,20,2.0,
9.01059,19,1.0,
9.01059,20,2.0,
9.02862,20,1.0,
9.03679,18,1.0,
9.04673,16,2.0,
9.04673,18,2.0,
9.04673,19,2.0,
9.05327,20,4.0,
9.05344,20,1.0,
9.05789,19,1.0,
9.06476,19,5.0,
9.06476,20,5.0,
9.11658,19,2.0,
9.11658,20,1.0,
9.54882,16,2.0,
9.58969,19,1.0,
9.58969,20,1.0,
9.59499,17,1.0,
9.59524,17,1.0,
9.59524,19,1.0,
9.60072,16,1.0,
9.60072,19,1.0,
9.65117,15,1.0,
9.69204,15,1.0,
9.73542,17,1.0,
10.00071,16,3.0,
10.33026,19,2.0,
10.86303,19,1.0,
10.97215,18,3.0,
11.31343,17,1.0,
11.31343,19,2.0,
11.3388,16,2.0,
11.3388,17,5.0,
11.3388,18,2.0,
11.3388,19,1.0,
11.52036,14,1.0,
11.66667,16,1.0,
11.66667,17,1.0,
11.78794,20,1.0,
11.83097,18,1.0,
11.99954,18,1.0,
12.00667,17,1.0,
12.03133,16,1.0,
12.03173,15,1.0,
12.37609,17,1.0,
12.6086,15,3.0,
12.6086,16,1.0,
12.6086,17,9.0,
12.6086,18,14.0,
13.66357,19,1.0,
13.9773,17,1.0,
14.16529,18,1.0,
14.30883,19,1.0,
14.30883,20,1.0,
14.32736,16,1.0,
14.34529,20,1.0,
14.37433,16,1.0,
14.39483,19,1.0,
14.40967,19,1.0,
14.42711,20,1.0,
14.7,18,1.0,
15.82958,19,1.0,
37.36026,17,,1.0
37.4676,15,,3.0
37.4676,16,,1.0
37.4676,17,,9.0
37.4676,18,,14.0
37.72578,19,,2.0
37.97223,18,,3.0
38.27596,19,,1.0
38.70371,20,,1.0
38.71515,20,,1.0
38.71711,16,,1.0
38.71711,17,,1.0
38.71711,18,,1.0
38.71711,19,,2.0
38.71711,20,,3.0
38.72335,20,,4.0
38.72761,19,,1.0
38.73706,20,,2.0
38.75369,20,,1.0
38.758,16,,2.0
38.758,18,,2.0
38.758,19,,2.0
38.76187,18,,1.0
38.772,19,,5.0
38.772,20,,5.0
38.77222,19,,2.0
38.77222,20,,1.0
38.7756,19,,1.0
38.7756,20,,2.0
38.78174,19,,1.0
38.79112,17,,1.0
38.79112,20,,1.0
39.04521,16,,1.0
39.04561,15,,1.0
39.17335,19,,1.0
39.26194,16,,3.0
39.29217,16,,1.0
39.33426,18,,1.0
39.35964,14,,1.0
39.37868,19,,1.0
39.37868,20,,1.0
39.40431,16,,1.0
39.40653,19,,1.0
39.41667,18,,1.0
39.43503,20,,1.0
39.44767,18,,1.0
39.45108,20,,1.0
39.51701,15,,1.0
39.51811,19,,1.0
39.55528,17,,1.0
39.59867,20,,1.0
39.60086,18,,1.0
39.60775,17,,1.0
39.67698,17,,1.0
39.67698,19,,2.0
39.69241,16,,2.0
39.69743,16,,2.0
39.69743,17,,5.0
39.69743,18,,2.0
39.69743,19,,1.0
39.73325,19,,1.0
39.73325,20,,1.0
39.7346,17,,1.0
39.73461,17,,1.0
39.73461,19,,1.0
39.73582,16,,1.0
39.73582,19,,1.0
39.75,16,,1.0
39.75,17,,1.0
39.78255,17,,1.0
39.83159,15,,1.0
