Destination,Lat,Lat
 OLOLUNG'A,-1.016797,1
AHERO,-0.174439,2
AINABKOI,0.188399,1
ATHI RIVER,-1.45,1
BAMBURI,-3.996659,1
BOKOLI,0.709585,1
BOMET,-0.7813,2
BONDO,-0.100337,3
BUMULA,0.550684,1
BUNGOMA,0.5666,10
BURNT FOREST,0.215396,3
BUSIA,0.4608,8
BUTERE,0.219816,1
CHEPTIRET,0.357108,1
CHUKA,-0.322865,3
DIANI,-4.286542,4
ELDAMA RAVINE,0.053037,5
ELDORET,0.514278,205
EMALI,-2.0797,9
EMBU,-0.538838,12
FUNYULA,0.279642,1
GACHIE,-1.216466,1
GARSEN,-2.2681217,1
GATUNGA,-0.099936,1
GITHUNGURI,-1.058634,2
HOLA,-1.503914,1
HOMA BAY,-0.5167,4
ISEBANIA,-1.244847,2
ISHIARA,-0.454784,1
ISIOLO,0.35,3
ITEN,0.6703,11
JOSKA,-1.28424,1
KABIANGA,-0.437704,1
KABIYET,0.413503,1
KACHIBORA,1.014065,1
KAJIADO,-1.842073,3
KAKAMEGA,0.2833,17
KAMUKUYWA,0.778104,1
KAMULU,-1.282331,1
KAPCHEROP,1.082979,2
KAPENGURIA,1.2389,14
KAPSABET,0.202957,10
KAPSOIT,-0.320652,1
KAPTAGAT,0.436426,1
KAPTUMO,0.075974,1
KATHWANA,-0.332001,1
KENDU BAY,-0.3596,1
KERICHO,-0.3692,5
KERUGOYA,-0.4989,1
KESOGON,1.166209,1
KESSES,0.275035,2
KIAMBU,-1.1714,1
KIANJAI,0.161735,2
KIBWEZI,-2.410524,12
KILGORIS,-1.006268,3
KILIFI,-3.510651,5
KIMENDE,-0.983375,1
KIMILILI,0.782681,6
KIMININI,0.893515,2
KINAMBA,0.413161,1
KIPKAREN,0.508118,1
KIPLOMBE,0.58232,1
KISUMU,-0.091702,6
KITALE,1.019089,83
KITHYOKO,-1.048051,2
KITUI,-1.3667,5
KWALE,-4.1737,1
LESHAU,0.014996,1
LESSOS,0.185022,2
LIKONI,-4.092902,2
LIMURU,-1.106931,3
LUANDA,0.307778,6
LWANDETI,0.607005,1
MACHAKOS,-1.5167,4
MACKINNON,-3.725125,1
MAKUENI,-1.7808,2
MAKUTANO - KAPENGURIA ,1.244367,1
MALABA,0.636206,1
MALAVA,0.445043,1
MALINDI,-3.219186,11
MARALAL,1.0931431,1
MATANYA,-0.044758,1
MATASIA,-1.399229,1
MATUNDA,0.827257,1
MAUA,0.232555,1
MBALE,0.090186,2
MERU,0.051472,9
MIGORI,-1.0634,7
MITUNGUU,-0.108904,4
MOGOTIO,-0.020766,1
MOIBEN,0.823846,4
MOLO,-0.248836,7
MOMBASA,-4.0434771,3
MOSORIOT,0.318933,6
MSABWENI,-4.46529,1
MTWAPA,-3.93857,3
MUKURWE-INI,-0.560941,1
MUMIAS,0.3333,10
MURANG'A,-0.783928,1
MUSERECHI,-0.029769,2
MUTITHI,-0.697813,1
MWALA,-1.351982,1
MWEA,-0.689736,1
MWINGI,-0.9296,11
NAIROBI,-1.2920659,14
NAIVASHA,-0.7167,1
NAKURU,-0.2833,15
NAMBALE,0.449253,2
NANGILI,0.746928,2
NANYUKI,0.0167,9
NAROK,-1.0833,5
NDALU,0.842137,1
NGERIA,0.38316,1
NJORO,-0.372131,2
NKUBU,-0.064659,2
NYAHURURU,0.0351644,16
NYERI,-0.4167,1
OL KALOU,-0.2643,4
OLOITOKTOK,-2.924797,3
OYUGIS,-0.507896,2
RAMISI,-4.520501,1
RIRONI,-1.156403,1
RODI KOPANY,-0.625674,1
RUIRU,-1.145703,3
SABATIA,0.107452,1
SACHORA,-0.703207,1
SAGANA,-0.669513,2
SHIANDA,0.319313,1
SHIMBA HILLS,-4.257222,2
SIAKAGO,-0.57767,1
SIAYA,0.0607,6
SOI,0.672,5
SOLAI,0.002824,1
SOTIK,-0.6796,2
SUBUKIA,-0.001881,2
SUSWA,-1.148701,1
TAITA/TAVETA,-3.505,3
TALA,-1.267026,3
THIKA,-1.0396,3
TIMAU,0.085499,3
TIMBOROA,0.085495,1
TONGAREN,0.789516,1
TURBO,0.633948,7
UGUNJA,0.181103,2
UTAWALA,-1.284081,1
WEBUYE,0.599206,9
WOTE,-1.788625,7
ZIWA,0.856975,6
