Latitude,Longitude,Longitude
8.86824,38.79112,2
8.9853,38.71711,8
9.00456,38.75369,1
9.01039,38.73706,2
9.01059,38.7756,3
9.02862,38.70371,1
9.03679,38.76187,1
9.04673,38.758,6
9.05327,38.72335,4
9.05344,38.71515,1
9.05789,38.72761,1
9.06476,38.772,10
9.11658,38.77222,3
9.54882,39.69241,2
9.58969,39.73325,2
9.59499,39.7346,1
9.59524,39.73461,2
9.60072,39.73582,2
9.65117,39.51701,1
9.69204,39.83159,1
9.73542,39.78255,1
10.00071,39.26194,3
10.33026,37.72578,2
10.86303,38.27596,1
10.97215,37.97223,3
11.31343,39.67698,3
11.3388,39.69743,10
11.52036,39.35964,1
11.66667,39.75,2
11.78794,39.59867,1
11.83097,39.60086,1
11.99954,39.33426,1
12.00667,39.55528,1
12.03133,39.04521,1
12.03173,39.04561,1
12.37609,37.36026,1
12.6086,37.4676,27
13.66357,39.17335,1
13.9773,39.60775,1
14.16529,39.44767,1
14.30883,39.37868,2
14.32736,39.40431,1
14.34529,39.43503,1
14.37433,39.29217,1
14.39483,39.40653,1
14.40967,39.51811,1
14.42711,39.45108,1
14.7,39.41667,1
15.82958,38.78174,1
